Telescope setup name: Twinkle Exposure Time: 1.0000 s
magB; magV; magR; fwhm_x; fwhm_y; stdev_x; stdev_y 
+12.0000; +12.0000; +12.0000; +5.5000; +5.5000; +0.0465; +0.0516 
+12.0000; +12.0000; +12.0000; +6.0000; +6.0000; +0.0424; +0.0500 
+12.0000; +12.0000; +12.0000; +6.5000; +6.5000; +0.0485; +0.0522 
+12.0000; +12.0000; +12.0000; +7.0000; +7.0000; +0.0524; +0.0520 
+12.0000; +12.0000; +12.0000; +7.5000; +7.5000; +0.0451; +0.0473 
+12.0000; +12.0000; +12.0000; +8.0000; +8.0000; +0.0575; +0.0530 
+12.0000; +12.0000; +12.0000; +8.5000; +8.5000; +0.0539; +0.0505 
+12.0000; +12.0000; +12.0000; +9.0000; +9.0000; +0.0574; +0.0603 
+12.0000; +12.0000; +12.0000; +9.5000; +9.5000; +0.0590; +0.0595 
+12.0000; +12.0000; +12.0000; +10.0000; +10.0000; +0.0555; +0.0637 
+12.0000; +12.0000; +12.0000; +10.5000; +10.5000; +0.0563; +0.0678 
+12.0000; +12.0000; +12.0000; +11.0000; +11.0000; +0.0644; +0.0631 
+12.5000; +12.5000; +12.5000; +1.0000; +1.0000; +0.0674; +0.0903 
+12.5000; +12.5000; +12.5000; +1.5000; +1.5000; +0.0610; +0.0733 
+12.5000; +12.5000; +12.5000; +2.0000; +2.0000; +0.0599; +0.0733 
+12.5000; +12.5000; +12.5000; +2.5000; +2.5000; +0.0633; +0.0701 
+12.5000; +12.5000; +12.5000; +3.0000; +3.0000; +0.0636; +0.0735 
+12.5000; +12.5000; +12.5000; +3.5000; +3.5000; +0.0698; +0.0778 
+12.5000; +12.5000; +12.5000; +4.0000; +4.0000; +0.0577; +0.0668 
+12.5000; +12.5000; +12.5000; +4.5000; +4.5000; +0.0603; +0.0692 
+12.5000; +12.5000; +12.5000; +5.0000; +5.0000; +0.0597; +0.0760 
+12.5000; +12.5000; +12.5000; +5.5000; +5.5000; +0.0683; +0.0837 
+12.5000; +12.5000; +12.5000; +6.0000; +6.0000; +0.0568; +0.0740 
+12.5000; +12.5000; +12.5000; +6.5000; +6.5000; +0.0689; +0.0723 
+12.5000; +12.5000; +12.5000; +7.0000; +7.0000; +0.0648; +0.0799 
+12.5000; +12.5000; +12.5000; +7.5000; +7.5000; +0.0623; +0.0834 
+12.5000; +12.5000; +12.5000; +8.0000; +8.0000; +0.0720; +0.0828 
+12.5000; +12.5000; +12.5000; +8.5000; +8.5000; +0.0738; +0.0850 
+12.5000; +12.5000; +12.5000; +9.0000; +9.0000; +0.0717; +0.0921 
+12.5000; +12.5000; +12.5000; +9.5000; +9.5000; +0.0889; +0.0846 
+12.5000; +12.5000; +12.5000; +10.0000; +10.0000; +0.0793; +0.0938 
+12.5000; +12.5000; +12.5000; +10.5000; +10.5000; +0.0841; +0.0800 
+12.5000; +12.5000; +12.5000; +11.0000; +11.0000; +0.0889; +0.1019 
+13.0000; +13.0000; +13.0000; +1.0000; +1.0000; +0.0982; +0.1318 
+13.0000; +13.0000; +13.0000; +1.5000; +1.5000; +0.0913; +0.1165 
+13.0000; +13.0000; +13.0000; +2.0000; +2.0000; +0.0835; +0.1062 
+13.0000; +13.0000; +13.0000; +2.5000; +2.5000; +0.1080; +0.1092 
+13.0000; +13.0000; +13.0000; +3.0000; +3.0000; +0.0965; +0.1232 
+13.0000; +13.0000; +13.0000; +3.5000; +3.5000; +0.0969; +0.1045 
+13.0000; +13.0000; +13.0000; +4.0000; +4.0000; +0.0930; +0.1105 
+13.0000; +13.0000; +13.0000; +4.5000; +4.5000; +0.1048; +0.1117 
+13.0000; +13.0000; +13.0000; +5.0000; +5.0000; +0.0986; +0.1117 
+13.0000; +13.0000; +13.0000; +5.5000; +5.5000; +0.0982; +0.1085 
+13.0000; +13.0000; +13.0000; +6.0000; +6.0000; +0.0868; +0.1120 
+13.0000; +13.0000; +13.0000; +6.5000; +6.5000; +0.0960; +0.1001 
+13.0000; +13.0000; +13.0000; +7.0000; +7.0000; +0.1031; +0.1095 
+13.0000; +13.0000; +13.0000; +7.5000; +7.5000; +0.0973; +0.1023 
+13.0000; +13.0000; +13.0000; +8.0000; +8.0000; +0.0979; +0.1064 
